filename,category,shot_type,character,prompt
shot-single-A,shot_type,Single (1-Shot),A,"Vertical iPhone screenshot of a young Black woman standing alone in her bedroom talking, full body visible head to toe, natural daylight from a window to her left casting soft uneven light, grey hoodie and joggers, braids, slightly off-centre in the frame like she propped her phone against something on a shelf, real messy bedroom behind her with an unmade bed and stuff on the desk, iPhone rear camera quality with slight grain and warm tones, not posed, mid-sentence expression, 9:16 vertical"
shot-two-shot-A,shot_type,Two-Shot,A,"Vertical iPhone screenshot of a young Black woman and another person sitting together on a sofa in a lived-in living room, both visible from the waist up, she is wearing a grey hoodie with braids and talking while the other person listens, natural daylight from a nearby window, warm brown skin, the phone is propped on a coffee table filming them, real room background with cushions and a remote on the sofa, iPhone rear camera quality with slight grain, mid-conversation moment, 9:16 vertical"
shot-group-A,shot_type,Group Shot,A,"Vertical iPhone screenshot of a young Black woman in a grey hoodie with braids standing with two friends in a kitchen, all three visible from knees up, she is in the middle talking and gesturing, natural overhead kitchen light mixing with some daylight, real kitchen background with mugs on the counter and a fridge with magnets, the other two are reacting and laughing, iPhone rear camera quality with slight warmth and grain, casual energy not posed, 9:16 vertical"
shot-close-up-A,shot_type,Close-Up (CU),A,"Vertical iPhone screenshot extreme close-up of a young Black woman's face from forehead to chin filling most of the frame, braids visible at the top, warm brown skin with natural texture visible, she is mid-sentence with an expressive look, natural daylight hitting one side of her face from a window creating soft shadows, slightly out of focus background showing a blurred bedroom, iPhone rear camera quality with that slightly soft warm look, minimal makeup, 9:16 vertical"
shot-extreme-cu-A,shot_type,Extreme Close-Up (ECU),A,"Vertical iPhone screenshot extreme close-up of a young Black woman's hands holding a small product container, fingers with short natural nails, warm brown skin, the product fills most of the frame, soft natural daylight from the side, slightly blurred grey hoodie sleeve visible at the edge, real bedroom desk surface underneath with a couple of items visible, iPhone rear camera macro-style quality with slight grain, 9:16 vertical"
shot-medium-A,shot_type,Medium Shot (MS),A,"Vertical iPhone screenshot of a young Black woman visible from the waist up in her bedroom, grey hoodie and braids, talking directly to camera with one hand slightly raised mid-gesture, natural daylight from a window to her right, behind her a shelf with some books and a plant, unmade bed partially visible, warm brown skin, natural expression like she is explaining something, iPhone rear camera quality with slight grain and warm tones, phone propped at chest height, 9:16 vertical"
shot-medium-cu-A,shot_type,Medium Close-Up (MCU),A,"Vertical iPhone screenshot of a young Black woman from the chest up, grey hoodie visible at the bottom of frame, braids framing her face, talking with a slightly raised eyebrow like she is making a point, natural daylight from a window creating soft light on her face, blurred bedroom background with warm tones, warm brown skin with natural texture, iPhone rear camera quality slightly soft with grain, mid-sentence expression, 9:16 vertical"
shot-wide-A,shot_type,Wide Shot (WS),A,"Vertical iPhone screenshot wide shot of a young Black woman standing in her full bedroom, she is small in the frame with the whole room visible around her, grey hoodie joggers and braids, standing near her bed talking to camera, the room has an unmade bed a desk with stuff on it a window with natural daylight coming in and some clothes on a chair, phone propped far back on a shelf or dresser, iPhone rear camera quality with slight grain, real lived-in room, 9:16 vertical"
shot-extreme-wide-A,shot_type,Extreme Wide Shot (EWS),A,"Vertical iPhone screenshot extreme wide shot of a young Black woman tiny in the frame standing in a doorway of her flat, you can see the hallway and part of the living room, she is wearing grey hoodie and joggers with braids, natural daylight from multiple windows, real flat with coats hanging by the door and shoes on the floor, she is waving or gesturing small, iPhone rear camera quality with slight grain, the environment dominates the frame, 9:16 vertical"
shot-over-shoulder-A,shot_type,Over-the-Shoulder (OTS),A,"Vertical iPhone screenshot over the shoulder of a young Black woman looking at her phone screen which shows a product page, we see the back of her head with braids and grey hoodie shoulder, the phone screen is slightly visible and glowing, she is sitting on her bed in her bedroom, natural daylight from a window, real bedroom background, iPhone rear camera quality with slight grain and warm tones, casual moment like she is browsing, 9:16 vertical"
shot-pov-A,shot_type,POV (Point of View),A,"Vertical iPhone screenshot point of view shot looking down at a young Black woman's hands holding an open product box on her lap, we see her grey joggers and braids falling forward into frame, sitting on an unmade bed with a duvet visible, the product box has tissue paper inside, natural daylight from a window to the side, real bedroom setting, iPhone rear camera quality with slight grain, first-person perspective like the viewer is the creator looking down, 9:16 vertical"
shot-high-angle-A,shot_type,High Angle,A,"Vertical iPhone screenshot high angle looking down at a young Black woman sitting cross-legged on her bedroom floor, grey hoodie braids warm brown skin, she is looking up at the camera smiling mid-sentence, around her on the floor are a few products laid out, natural daylight from a window casting shadows on the carpet, real bedroom floor with the edge of her bed visible, iPhone rear camera quality with slight grain, phone held above her head, 9:16 vertical"
shot-low-angle-A,shot_type,Low Angle,A,"Vertical iPhone screenshot low angle looking up at a young Black woman standing in her bedroom, the camera is on the floor or very low surface looking up at her, grey hoodie braids warm brown skin, she is looking down at the camera talking with confidence, ceiling and top of her wardrobe visible behind her, natural daylight from a window to the side, slight lens distortion from the low angle, iPhone rear camera quality with grain, powerful casual energy, 9:16 vertical"
shot-eye-level-A,shot_type,Eye Level,A,"Vertical iPhone screenshot straight-on eye level of a young Black woman in her bedroom, grey hoodie braids warm brown skin, camera is exactly at her eye height, she is looking directly into the lens mid-sentence like she is talking to a friend, natural daylight from a window behind camera, real bedroom background with shelf and unmade bed, iPhone rear camera quality with slight grain and warm tones, intimate direct connection, 9:16 vertical"
shot-dutch-angle-A,shot_type,Dutch Angle (Tilted),A,"Vertical iPhone screenshot slightly tilted at an angle of a young Black woman in her bedroom, the whole frame is rotated about 15 degrees, grey hoodie braids warm brown skin, she has a playful or dramatic expression, natural daylight from a window, real bedroom background tilted with the frame, iPhone rear camera quality with slight grain, the tilt gives energy and drama to an otherwise casual moment, 9:16 vertical"
shot-tracking-A,shot_type,Tracking Shot (Simulated),A,"Vertical iPhone screenshot mid-motion of a young Black woman walking through her hallway towards the kitchen, slight motion blur on the edges suggesting the camera is moving with her, grey hoodie braids warm brown skin, she is mid-stride looking back at the camera talking, real flat hallway with coats and shoes visible, natural mixed lighting from hallway and kitchen, iPhone rear camera quality with grain and slight blur from movement, walking and talking energy, 9:16 vertical"
shot-static-A,shot_type,Static (Locked-Off),A,"Vertical iPhone screenshot perfectly still frame of a young Black woman sitting at her bedroom desk, grey hoodie braids warm brown skin, the frame is completely stable like the phone is propped on something solid, she is looking at camera explaining something with her hands, desk has some items on it and a laptop, natural daylight from a window to her left, real bedroom, iPhone rear camera quality with slight grain, stable composed frame, 9:16 vertical"
shot-handheld-A,shot_type,Handheld (Selfie-Style),A,"Vertical iPhone screenshot selfie-style of a young Black woman holding the phone in her right hand at arm's length, grey hoodie braids warm brown skin, slight arm visible at the bottom of frame, she is in her bedroom looking into the front camera talking excitedly, the image has that front-camera selfie quality slightly less sharp than rear camera, natural daylight, real bedroom background slightly blurred, her face fills about a third of the frame, casual selfie energy, 9:16 vertical"
shot-whip-pan-A,shot_type,Whip Pan (Simulated),A,"Vertical iPhone screenshot with heavy horizontal motion blur across the entire frame simulating a fast whip pan, you can barely make out a young Black woman in grey hoodie with braids in a bedroom, the blur streaks horizontally across natural daylight and bedroom colours, suggesting rapid camera movement from one subject to another, iPhone quality with the kind of blur you get when you swing the phone fast, chaotic energy, 9:16 vertical"
shot-zoom-in-A,shot_type,Zoom-In (Simulated),A,"Vertical iPhone screenshot mid-zoom of a young Black woman in her bedroom, the centre of the frame where her face is appears slightly sharper while the edges have a subtle zoom blur effect, grey hoodie braids warm brown skin, she has a knowing expression like she just said something important and is zooming in for emphasis, natural daylight, real bedroom background, iPhone digital zoom quality with slight pixelation starting, dramatic emphasis moment, 9:16 vertical"
shot-zoom-out-A,shot_type,Zoom-Out (Simulated),A,"Vertical iPhone screenshot mid-zoom-out revealing a young Black woman in her bedroom from what was a close-up pulling back to show more of the room, grey hoodie braids warm brown skin, the centre is slightly sharper than the edges suggesting outward movement, she is gesturing outward with her hands matching the reveal, natural daylight, more of the real bedroom becoming visible including bed and desk, iPhone quality, reveal energy, 9:16 vertical"
shot-transition-A,shot_type,Transition Frame,A,"Vertical iPhone screenshot of a young Black woman's hand covering the camera lens creating a dark blur with fingers and warm brown skin partially blocking the view, grey hoodie sleeve visible, you can see hints of her bedroom through the gaps between her fingers, natural daylight peeking through, this is the moment between two scenes where she covers and uncovers the lens as a transition, iPhone quality, 9:16 vertical"
shot-split-screen-A,shot_type,Split-Screen (Simulated),A,"Vertical iPhone screenshot showing a split composition with the young Black woman on the left side of frame in her bedroom wearing grey hoodie with braids showing a before state holding up a product, and on the right side the same setting but she is showing an after result with a satisfied expression, a visible line or contrast divides the two halves, natural daylight, real bedroom, iPhone quality with slight grain, comparison energy, 9:16 vertical"
shot-reaction-insert-A,shot_type,Reaction Insert,A,"Vertical iPhone screenshot tight on a young Black woman's face reacting to something off-screen, grey hoodie collar visible at bottom, braids, warm brown skin, her eyes are wide and mouth slightly open in genuine surprise or shock, natural daylight from a window hitting her face, blurred bedroom background, iPhone rear camera quality with slight grain, the kind of genuine reaction face you see in TikTok reaction videos, pure emotion no performance, 9:16 vertical"
shot-product-insert-A,shot_type,Product Insert (B-Roll),A,"Vertical iPhone screenshot of a product sitting on a bedroom desk surface, the product is centre-frame and in focus, around it are real desk items like a water bottle hair clip and some papers, natural daylight from a window creating soft shadows, the young Black woman's hand with warm brown skin is just entering the frame from the right about to pick it up, iPhone rear camera quality with slight grain, casual product moment not styled, 9:16 vertical"
shot-text-screen-A,shot_type,Text/Screen Capture,A,"Vertical iPhone screenshot of a young Black woman's hands holding her phone showing a text conversation or review on the screen, we see the phone screen glowing with text visible, her hands with warm brown skin and grey hoodie sleeves, she is sitting on her bed with the duvet visible, natural daylight, the phone screen is the focal point, iPhone rear camera quality capturing another phone screen with that slight moire effect, 9:16 vertical"
shot-timelapse-A,shot_type,Time-Lapse (Simulated),A,"Vertical iPhone screenshot simulating a time-lapse with a young Black woman slightly ghosted and blurred in multiple positions in her bedroom suggesting rapid movement over time, grey hoodie braids warm brown skin, the room is static but she appears in two or three semi-transparent overlapping positions, natural daylight from a window, real bedroom background sharp while she is motion-blurred, iPhone quality, passage of time energy, 9:16 vertical"
shot-slow-mo-A,shot_type,Slow-Motion (Simulated),A,"Vertical iPhone screenshot simulating slow motion of a young Black woman flipping her braids in her bedroom, the braids are captured mid-air with beautiful movement and slight motion trail, grey hoodie warm brown skin, her expression is confident and unbothered, natural daylight catching the movement of her hair, real bedroom background slightly soft, iPhone slow-mo quality with that smooth cinematic-but-still-phone feel, graceful moment, 9:16 vertical"
shot-mirror-A,shot_type,Mirror Shot,A,"Vertical iPhone screenshot of a young Black woman's reflection in her bedroom mirror, she is holding her phone filming the mirror, grey hoodie braids warm brown skin visible in the reflection, the mirror has some smudges and maybe a sticker on the corner, real bedroom visible in the reflection behind her including unmade bed, the phone is visible in her hands in the reflection, natural daylight, iPhone quality with the slight softness you get from filming a mirror, 9:16 vertical"
shot-silhouette-A,shot_type,Silhouette / Backlit,A,"Vertical iPhone screenshot of a young Black woman standing in front of her bedroom window backlit by strong natural daylight creating a silhouette, her outline is visible including braids and hoodie shape but her features are dark, the window light is bright and slightly blown out as iPhones do with backlighting, real bedroom items visible in shadow around her, dramatic contrast between the bright window and dark room, iPhone quality with the exposure issues phones have with backlighting, 9:16 vertical"